index,generated_output
116080,The volume of the product is 32 fluid ounces (fl oz).
116081,The maximum weight recommendation is 66 lbs.
116082,The product's item weight is 1.4 lbs.
116083,The product's item weight is 1070g.
116084,The item's weight is 1 gram.
116085,The product's item weight is not explicitly indicated in the image.
116086,The product's item weight is not explicitly indicated in the image.
116087,The product's item weight is 16 oz (1 lb).
116088,The maximum weight recommendation in the image is 300 LB.
116089,The maximum weight recommendation is 300 pounds.
116090,The product's item weight is not explicitly indicated in the image.
116091,The product's item weight is 10.6 ounces (301 grams).
116092,The product is suitable for dogs up to 44 lbs.
116093,The maximum weight recommendation is up to 44 lbs.
116094,"The HP OfficeJet Pro 8035e printer has the following specifications:

- **Wattage**: 220 watts (approximate)
- **Power consumption**: 220 watts (approximate)
- **Output**: 225 sheets (approximate)

These specifications are based on the information provided in the image."
