index,generated_output
98074,The depth of the product is 9 inches.
98075,The product is 13 inches tall.
98076,The width of the product is 50mm or 1.97 inches.
98077,The product has a height of 50mm or 1.97 inches.
98078,"The depth of the product is 54mm, which is equivalent to 2.12 inches."
98079,The height of the product is 29 cm.
98080,The depth of the product is 12 cm.
98081,The width of the product is 12 cm.
98082,The height of the product is 9.5 cm.
98083,The width of the product is 8 cm.
98084,The depth of the product is 7.0 cm.
98085,The depth of the product is 12.5 inches.
98086,The width of the product is 12.5 inches.
98087,The depth of the product is 12 inches (30 cm).
98088,The product is 21.7 inches tall.
98089,The product is 21.7 inches tall.
98090,The product's item weight is 20 pounds (lb).
98091,The height of the product is 81 mm.
98092,The depth of the product is 81 mm.
98093,The product is 7.5 inches tall.
98094,The height of the product is 11.7 cm (4.61 inches).
98095,The height of the product is 48 cm.
98096,The product has a height range of 69 cm to 115 cm.
98097,The width of the product is 114 cm.
98098,The height of the product is 24 cm.
98099,The depth of the product is 8 cm.
98100,The height of the product is 79.81 inches.
98101,The width of the product is 28 cm.
98102,The width of the product is 32 inches.
98103,The product is 32 inches tall.
98104,The depth of the product is 32 inches.
98105,The width of the product is 70 cm.
98106,The height of the product is 70 cm.
98107,The item's weight is 32 lb.
98108,The product has a height of 22.5 inches.
98109,The product's item weight is 25 lbs.
98110,The product is 75 inches tall.
98111,The width of the product is 26 inches.
98112,The height of the product is 29 inches.
98113,The depth of the product is 345mm.
98114,The product has a height of 559 mm.
98115,The width of the product is 506mm.
98116,The width of the product is 2.76 inches.
98117,The depth of the product is 2.76 inches.
98118,The height of the product is 29 inches.
98119,The width of the product is 11.75 inches.
98120,The height of the product is 35.5 inches.
98121,The width of the product is 7 inches or 17.5 centimeters.
98122,The depth of the product is 4.5 inches or 11.5 centimeters.
98123,The height of the product is 32.3 cm.
98124,"The product dimensions are as follows:

- Height: 4.5 inches (11.5 cm)
- Width: 4.5 inches (11.5 cm)

There are no visible gaps between the two sides of the product."
98125,The height of the product is 300 cm.
98126,"The depth of the product is 7 cm, which is 2.7 inches."
98127,The width of the product is 7 cm or 2.7 inches.
98128,The height of the product is 10.3 inches.
98129,The height of the product is 11 cm (4.3 inches).
98130,The depth of the product is 0.2 mm.
98131,The product in the image is a roll of ribbon. The ribbon is 1 cm wide and 22 meters long. The height of the product is not explicitly mentioned in the image.
98132,The width of the product is 1 cm.
98133,The depth of the product is approximately 34 cm.
98134,The depth of the product is 10 meters.
